order_id,product_name,order_date,sales,quantity,profit
CA-2016-152156,Bush Somerset Collection Bookcase,2016-11-08,261.96,2,41.9136
CA-2016-138688,Self-Adhesive Address Labels for Typewriters by Universal,2016-06-12,14.62,2,6.8714
US-2015-108966,Bretford CR4500 Series Slim Rectangular Table,2015-10-11,957.5775,5,-383.031
CA-2014-115812,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",2014-06-09,48.86,7,14.1694
CA-2017-114412,Xerox 1967,2017-04-15,15.552,3,5.4432
CA-2016-161389,Fellowes PB200 Plastic Comb Binding Machine,2016-12-05,407.976,3,132.5922
US-2015-118983,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",2015-11-22,68.81,5,-123.858
CA-2014-105893,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",2014-11-11,665.88,6,13.3176
CA-2014-167164,Fellowes Super Stor/Drawer,2014-05-13,55.5,2,9.99
CA-2014-143336,Newell 341,2014-08-27,8.56,2,2.4824
CA-2016-137330,Newell 318,2016-12-09,19.46,7,5.0596
US-2017-156909,"Global Deluxe Stacking Chair, Gray",2017-07-16,71.372,2,-1.0196
CA-2015-106320,Bretford CR4500 Series Slim Rectangular Table,2015-09-25,1044.63,3,240.2649
CA-2016-121755,Wilson Jones Active Use Binders,2016-01-16,11.648,2,4.2224
US-2015-150630,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",2015-09-17,3083.43,7,-1665.0522
CA-2017-107727,Easy-staple paper,2017-10-19,29.472,3,9.9468
CA-2016-117590,GE 30524EE4,2016-12-08,1097.544,7,123.4737
CA-2015-117415,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",2015-12-27,113.328,9,35.415
CA-2017-120999,Panasonic Kx-TS550,2017-09-10,147.168,4,16.5564
CA-2016-101343,"Eldon Base for stackable storage shelf, platinum",2016-07-17,77.88,2,3.894
CA-2017-139619,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",2017-09-19,95.616,2,9.5616
CA-2016-118255,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",2016-03-11,45.98,2,19.7714
CA-2014-146703,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",2014-10-20,211.96,4,8.4784
CA-2016-169194,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,2016-06-20,45.0,3,4.95
CA-2015-115742,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",2015-04-18,38.22,6,17.9634
CA-2016-105816,Advantus Push Pins,2016-12-11,15.26,7,6.2566
CA-2016-111682,Home/Office Personal File Carts,2016-06-17,208.56,6,52.14
CA-2015-135545,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",2015-11-24,13.98,2,6.1512
US-2015-164175,"Global Value Mid-Back Manager's Chair, Gray",2015-04-30,213.115,5,-15.2225
CA-2014-106376,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",2014-12-05,1113.024,8,111.3024
CA-2016-119823,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",2016-06-04,75.88,2,35.6636
CA-2016-106075,Avery Binding System Hidden Tab Executive Style Index Sets,2016-09-18,4.616,1,1.731
CA-2017-114440,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",2017-09-14,19.05,3,8.763
US-2015-134026,High-Back Leather Manager's Chair,2015-04-26,831.936,8,-114.3912
US-2017-118038,Economy Binders,2017-12-09,1.248,3,-1.9344
US-2014-147606,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",2014-11-26,19.3,5,-14.475
CA-2016-127208,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",2016-06-12,208.16,1,56.2032
CA-2014-139451,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",2014-10-12,14.9,5,4.172
CA-2015-149734,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,2015-09-03,200.984,7,62.8075
US-2017-119662,Safco Industrial Wire Shelving,2017-11-13,230.376,3,-48.9549
CA-2017-140088,Novimex Swivel Fabric Task Chair,2017-05-28,301.96,2,33.2156
CA-2017-155558,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,2017-10-26,19.99,1,6.7966
CA-2016-159695,Eldon Portable Mobile Manager,2016-04-05,158.368,7,13.8572
CA-2016-109806,Turquoise Lead Holder with Pocket Clip,2016-09-17,20.1,3,6.633
CA-2015-149587,Xerox 1999,2015-01-31,12.96,2,6.2208
US-2017-109484,Flexible Leather- Look Classic Collection Ring Binder,2017-11-06,5.682,1,-3.788
CA-2017-161018,9-3/4 Diameter Round Wall Clock,2017-11-09,96.53,7,40.5426
CA-2017-157833,Trimflex Flexible Post Binders,2017-06-17,51.312,3,17.9592
CA-2016-149223,Fellowes Basic Home/Office Series Surge Protectors,2016-09-06,77.88,6,22.5852
CA-2016-158568,Avery Personal Creations Heavyweight Cards,2016-08-29,64.624,7,22.6184
CA-2016-129903,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),2016-12-01,23.92,4,11.7208
US-2015-156867,Logitech K350 2.4Ghz Wireless Keyboard,2015-11-13,238.896,6,-26.8758
CA-2017-119004,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,2017-11-23,74.112,8,17.6016
